GEMEINDE-SCHLUESSEL;ART;NAME;PLZ;ORT;AMTS-SCHLUESSEL;AMT-NAME
12 0 63 228 02;Gemeinde;Paulinenaue;14641;Paulinenaue;12 0 63 000 02;Friesack
12 0 63 240 02;Gemeinde;Pessin;14641;Pessin;12 0 63 000 02;Friesack
12 0 63 256 02;Gemeinde;Retzow;14641;Retzow;12 0 63 000 02;Friesack
12 0 63 260 09;Stadt;Rhinow;14728;Rhinow;12 0 63 000 09;Rhinow
12 0 63 274 09;Gemeinde;Seeblick;14715;Seeblick;12 0 63 000 09;Rhinow
12 0 63 293 06;Gemeinde;Stechow-Ferchesar;14715;Stechow-Ferchesar;12 0 63 000 06;Nennhausen
12 0 64 009 04;Gemeinde;Alt Tucheband;15328;Alt Tucheband;12 0 64 000 04;Golzow
12 0 64 053 03;Gemeinde;Beiersdorf-Freudenberg;16259;Beiersdorf-Freudenberg;12 0 64 000 03;Falkenberg-Höhe
12 0 64 057 04;Gemeinde;Bleyen-Genschmar;15328;Bleyen-Genschmar;12 0 64 000 04;Golzow
12 0 64 061 14;Gemeinde;Bliesdorf;16269;Bliesdorf;12 0 64 000 14;Barnim-Oderbruch
12 0 64 084 08;Stadt;Buckow (Märkische Schweiz);15377;Buckow (Märkische Schweiz);12 0 64 000 08;Märkische Schweiz
12 0 64 125 03;Gemeinde;Falkenberg;16259;Falkenberg;12 0 64 000 03;Falkenberg-Höhe
12 0 64 128 12;Gemeinde;Falkenhagen (Mark);15306;Falkenhagen (Mark);12 0 64 000 12;Seelow-Land
12 0 64 130 12;Gemeinde;Fichtenhöhe;15306;Fichtenhöhe;12 0 64 000 12;Seelow-Land
12 0 64 153 08;Gemeinde;Garzau-Garzin;15345;Garzau-Garzin;12 0 64 000 08;Märkische Schweiz
12 0 64 172 04;Gemeinde;Golzow;15328;Golzow;12 0 64 000 04;Golzow
12 0 64 190 10;Gemeinde;Gusow-Platkow;15306;Gusow-Platkow;12 0 64 000 10;Neuhardenberg
12 0 64 205 03;Gemeinde;Heckelberg-Brunow;16259;Heckelberg-Brunow;12 0 64 000 03;Falkenberg-Höhe
12 0 64 222 03;Gemeinde;Höhenland;16259;Höhenland;12 0 64 000 03;Falkenberg-Höhe
12 0 64 266 04;Gemeinde;Küstriner Vorland;15328;Küstriner Vorland;12 0 64 000 04;Golzow
12 0 64 268 06;Stadt;Lebus;15326;Lebus;12 0 64 000 06;Lebus
12 0 64 288 12;Gemeinde;Lietzen;15306;Lietzen;12 0 64 000 12;Seelow-Land
12 0 64 290 12;Gemeinde;Lindendorf;15306;Lindendorf;12 0 64 000 12;Seelow-Land
12 0 64 303 10;Gemeinde;Märkische Höhe;15377;Märkische Höhe;12 0 64 000 10;Neuhardenberg
12 0 64 340 10;Gemeinde;Neuhardenberg;15320;Neuhardenberg;12 0 64 000 10;Neuhardenberg
12 0 64 349 14;Gemeinde;Neulewin;16259;Neulewin;12 0 64 000 14;Barnim-Oderbruch
12 0 64 365 14;Gemeinde;Neutrebbin;15320;Neutrebbin;12 0 64 000 14;Barnim-Oderbruch
12 0 64 370 08;Gemeinde;Oberbarnim;15377 ;Oberbarnim;12 0 64 000 08;Märkische Schweiz
12 0 64 371 14;Gemeinde;Oderaue;16259;Oderaue;12 0 64 000 14;Barnim-Oderbruch
12 0 64 388 06;Gemeinde;Podelzig;15326;Podelzig;12 0 64 000 06;Lebus
12 0 64 393 14;Gemeinde;Prötzel;15345;Prötzel;12 0 64 000 14;Barnim-Oderbruch
12 0 64 408 08;Gemeinde;Rehfelde;15345;Rehfelde;12 0 64 000 08;Märkische Schweiz
12 0 64 417 14;Gemeinde;Reichenow-Möglin;15345;Reichenow-Möglin;12 0 64 000 14;Barnim-Oderbruch
12 0 64 420 06;Gemeinde;Reitwein;15328;Reitwein;12 0 64 000 06;Lebus
12 0 64 480 06;Gemeinde;Treplin;15236;Treplin;12 0 64 000 06;Lebus
12 0 64 482 12;Gemeinde;Vierlinden;15306;Vierlinden;12 0 64 000 12;Seelow-Land
12 0 64 484 08;Gemeinde;Waldsieversdorf;15377;Waldsieversdorf;12 0 64 000 08;Märkische Schweiz
12 0 64 538 04;Gemeinde;Zechin;15328;Zechin;12 0 64 000 04;Golzow
12 0 64 539 06;Gemeinde;Zeschdorf;15326;Zeschdorf;12 0 64 000 06;Lebus
12 0 65 100 02;Stadt;Gransee;16775;Gransee;12 0 65 000 02;Gransee und Gemeinden
12 0 65 117 02;Gemeinde;Großwoltersdorf;16775;Großwoltersdorf;12 0 65 000 02;Gransee und Gemeinden
12 0 65 276 02;Gemeinde;Schönermark;16775;Schönermark;12 0 65 000 02;Gransee und Gemeinden
12 0 65 301 02;Gemeinde;Sonnenberg;16775;Sonnenberg;12 0 65 000 02;Gransee und Gemeinden
12 0 65 310 02;Gemeinde;Stechlin;16775;Stechlin;12 0 65 000 02;Gransee und Gemeinden
12 0 66 008 01;Gemeinde;Altdöbern;03229;Altdöbern;12 0 66 000 01;Altdöbern
12 0 66 041 01;Gemeinde;Bronkow;03205;Bronkow;12 0 66 000 01;Altdöbern
12 0 66 064 06;Gemeinde;Frauendorf;01945;Frauendorf;12 0 66 000 06;Ortrand
12 0 66 104 06;Gemeinde;Großkmehlen;01990;Großkmehlen;12 0 66 000 06;Ortrand
12 0 66 116 07;Gemeinde;Grünewald;01945;Grünewald;12 0 66 000 07;Ruhland
12 0 66 120 07;Gemeinde;Guteborn;01945;Guteborn;12 0 66 000 07;Ruhland
12 0 66 124 07;Gemeinde;Hermsdorf;01945;Hermsdorf;12 0 66 000 07;Ruhland
12 0 66 132 07;Gemeinde;Hohenbocka;01945;Hohenbocka;12 0 66 000 07;Ruhland
12 0 66 168 06;Gemeinde;Kroppen;01945;Kroppen;12 0 66 000 06;Ortrand
12 0 66 188 06;Gemeinde;Lindenau;01945;Lindenau;12 0 66 000 06;Ortrand
12 0 66 202 01;Gemeinde;Luckaitztal;03229;Luckaitztal;12 0 66 000 01;Altdöbern
12 0 66 226 01;Gemeinde;Neu-Seeland;03103;Neu-Seeland;12 0 66 000 01;Altdöbern
12 0 66 228 01;Gemeinde;Neupetershain;03103;Neupetershain;12 0 66 000 01;Altdöbern
12 0 66 240 06;Stadt;Ortrand;01990;Ortrand;12 0 66 000 06;Ortrand
12 0 66 272 07;Stadt;Ruhland;01945;Ruhland;12 0 66 000 07;Ruhland
12 0 66 292 07;Gemeinde;Schwarzbach;01945;Schwarzbach;12 0 66 000 07;Ruhland
12 0 66 316 06;Gemeinde;Tettau;01945;Tettau;12 0 66 000 06;Ortrand
12 0 67 024 07;Gemeinde;Bad Saarow;15526;Bad Saarow;12 0 67 000 07;Scharmützelsee
12 0 67 040 06;Gemeinde;Berkenbrück;15518;Berkenbrück;12 0 67 000 06;Odervorland
12 0 67 072 06;Gemeinde;Briesen (Mark);15518;Briesen (Mark);12 0 67 000 06;Odervorland
12 0 67 076 01;Gemeinde;Brieskow-Finkenheerd;15259;Brieskow-Finkenheerd;12 0 67 000 01;Brieskow-Finkenheerd
12 0 67 112 07;Gemeinde;Diensdorf-Radlow;15864;Diensdorf-Radlow;12 0 67 000 07;Scharmützelsee
12 0 67 173 09;Gemeinde;Gosen-Neu Zittau;15537;Gosen-Neu Zittau;12 0 67 000 09;Spreenhagen
